RGOriginalName,rgnumber,MatchedName,MatchScore,gc_orgID,CandidateCollision
Administrative Tribunals Support Service of Canada,170,Administrative Tribunals Support Service of Canada,100.0,2297.0,True
Public Service Superannuation,87,Administrative Tribunals Support Service of Canada,85.5,2297.0,True
Atlantic Canada Opportunities Agency,23,Atlantic Canada Opportunities Agency,100.0,2244.0,False
Canada Border Services Agency,85,Canada Border Services Agency,100.0,2300.0,True
Canada Border Services Agency - (Administered Activities),38,Canada Border Services Agency,90.0,2300.0,True
Canada Mortgage and Housing Corporation (Crown Corporation),91,Canada Mortgage and Housing Corporation,90.0,3631.0,False
Canada Revenue Agency,130,Canada Revenue Agency,100.0,2303.0,True
Canada Revenue Agency - (Administered Activities),122,Canada Revenue Agency,90.0,2303.0,True
Canada School of Public Service,52,Canada School of Public Service,100.0,2304.0,False
Canadian Accessibility Standards Development Organization,199,Canadian Accessibility Standards Development Organization,100.0,2319.0,False
Canadian Centre for Occupational Health and Safety,100,Canadian Centre for Occupational Health and Safety,100.0,2305.0,False
Canadian Dairy Commission,134,Canadian Dairy Commission,100.0,3615.0,False
Canadian Energy Regulator,195,Canadian Energy Regulator,100.0,2312.0,False
Canadian Food Inspection Agency,136,Canadian Food Inspection Agency,100.0,2306.0,False
Canadian Grain Commission,133,Canadian Grain Commission,100.0,2246.0,False
Canadian High Arctic Research Station,171,Canadian High Arctic Research Station,100.0,2318.0,False
Canadian Human Rights Commission,75,Canadian Human Rights Commission,100.0,2247.0,False
Canadian Institutes of Health Research,61,Canadian Institutes of Health Research,100.0,2307.0,False
Canadian Intergovernmental Conference Secretariat,43,Canadian Intergovernmental Conference Secretariat,100.0,2248.0,False
Canadian Northern Economic Development Agency,78,Canadian Northern Economic Development Agency,100.0,2249.0,False
Canadian Nuclear Safety Commission,47,Canadian Nuclear Safety Commission,100.0,2308.0,False
Canadian Radio-television and Telecommunications Commission,16,Canadian Radio-television and Telecommunications Commission,100.0,2396.0,False
Canadian Security Intelligence Service,95,Canadian Security Intelligence Service,100.0,2250.0,False
Canadian Space Agency,119,Canadian Space Agency,100.0,2251.0,False
Canadian Transportation Accident Investigation and Safety Board,101,Canadian Transportation Accident Investigation and Safety Board,100.0,2309.0,False
Canadian Transportation Agency,40,Canadian Transportation Agency,100.0,2252.0,False
Communications Security Establishment,165,Communications Security Establishment,100.0,2253.0,False
Copyright Board,116,Copyright Board,100.0,2254.0,False
Correctional Service of Canada,53,Correctional Service of Canada,100.0,2255.0,False
Courts Administration Service,144,Courts Administration Service,100.0,2256.0,False
Department for Women and Gender Equality,190,Department for Women and Gender Equality,100.0,2241.0,False
Department of Agriculture and Agri-Food,1,Department of Agriculture and Agri-Food,100.0,2222.0,False
Department of Canadian Heritage,135,Department of Canadian Heritage,100.0,2223.0,False
Department of Citizenship and Immigration,50,Department of Citizenship and Immigration,100.0,2224.0,False
Department of Crown-Indigenous Relations and Northern Affairs,42,Department of Crown-Indigenous Relations and Northern Affairs,100.0,2230.0,False
